"NUTS_ID","area_m2","area_km2"
"FR",549047571357.883,549047.571357883
"HR",56586707487.2166,56586.7074872166
"HU",92967966611.3429,92967.9666113429
"AL",28662686107.134,28662.686107134
"AT",83851182723.6413,83851.1827236413
"BE",30754901778.3171,30754.9017783171
"BG",111390057933.815,111390.057933815
"CH",41055715319.4901,41055.7153194901
"CY",9240925342.13708,9240.92534213708
"CZ",78896820477.4574,78896.8204774574
"DE",357362992366.369,357362.992366369
"DK",43509389032.4574,43509.3890324574
"EE",45237608708.0815,45237.6087080815
"BE1",158893401.324035,158.893401324035
"BE2",13660780302.1818,13660.7803021818
"BE3",16935228074.8113,16935.2280748113
"BG3",68434187761.8982,68434.1877618982
"BG4",42955870171.9172,42955.8701719172
"CH0",41055715319.4901,41055.7153194901
"CY0",9240925342.13708,9240.92534213708
"CZ0",78896820477.4574,78896.8204774574
"EL",131431908715.807,131431.908715807
"IE",69616968947.579,69616.968947579
"ES",505990519021.073,505990.519021073
"FI",338571327844.586,338571.327844586
"IS",102324965158.299,102324.965158299
"PT2",2364163750.36041,2364.16375036041
"PT",92527137912.8978,92527.1379128978
"RO",238022421817.812,238022.421817812
"RS",77235846508.4112,77235.8465084112
"SE",452650261474.945,452650.261474945
"SI",20147953048.9329,20147.9530489329
"SK",48918809255.6755,48918.8092556755
"TR",779854213386.388,779854.213386388
"AL0",28662686107.134,28662.686107134
"AT1",23651612301.1472,23651.6123011472
"AT2",25780055035.9227,25780.0550359227
"AT3",34419515386.5713,34419.5153865713
"PL5",29430187542.4489,29430.1875424489
"PL6",60391922219.7826,60391.9222197826
"PL7",29984412384.3592,29984.4123843592
"PL8",63360095263.491,63360.095263491
"UK",243927311480.38,243927.31148038
"EL6",58699338777.3528,58699.3387773528
"NO",398026940289.799,398026.940289799
"ES1",45381956723.6944,45381.9567236944
"DE1",36049935889.2596,36049.9358892596
"PL9",35407579955.1699,35407.5799551699
"PT1",89259061582.0875,89259.0615820875
"EL4",17115164382.7712,17115.1643827712
"DE6",770536849.767724,770.536849767724
"DE7",21066689631.9433,21066.6896319433
"DE8",23182448870.7359,23182.4488707359
"DE9",47831539354.2111,47831.5393542111
"DEA",34210295815.8855,34210.2958158855
"DEB",19918280035.8154,19918.2800358154
"DEC",2519279514.50904,2519.27951450904
"DED",18453070469.9775,18453.0704699775
"DEE",20709181080.8652,20709.1810808652
"DEF",15532359895.6336,15532.3598956336
"DEG",16101450093.9201,16101.4500939201
"IT",302150239982.929,302150.239982929
"LI",160106570.525093,160.106570525093
"LT",64584454298.8793,64584.4542988793
"LU",2627480254.72339,2627.48025472339
"LV",64646543720.7183,64646.5437207183
"ME",13968864824.1021,13968.8648241021
"MK",25392523403.8038,25392.5234038038
"MT",275536525.21658,275.53652521658
"NL",37212375411.459,37212.375411459
"PT3",903912580.449929,903.912580449929
"RO1",68331995695.8066,68331.9956958066
"RO2",72276800385.4037,72276.8003854037
"RO3",36198081711.7634,36198.0817117634
"RO4",61215544024.8381,61215.5440248381
"RS1",24624920596.472,24624.920596472
"EL5",51614946475.4524,51614.9464754524
"DE2",70328081594.1603,70328.0815941603
"DE3",879875033.943927,879.875033943927
"DE4",29424156315.2814,29424.1563152814
"DE5",385811920.459271,385.811920459271
"DK0",43509389032.4574,43509.3890324574
"EE0",45237608708.0815,45237.6087080815
"EL3",4002459080.23093,4002.45908023093
"PL",312484945840.698,312484.945840698
"FRI",84991320365.5942,84991.3203655942
"FRJ",73370097884.4147,73370.0978844147
"FRK",71215966979.0122,71215.9669790122
"FRL",31750296828.4116,31750.2968284116
"FRM",8522564487.69874,8522.56448769874
"HR0",56586707487.2166,56586.7074872166
"HU1",6900720808.86579,6900.72080886579
"HU2",36512203348.2922,36512.2033482922
"HU3",49555042454.185,49555.042454185
"IE0",69616968947.579,69616.968947579
"IS0",102324965158.299,102324.965158299
"ITC",57994545513.0463,57994.5455130463
"ITF",73746721014.981,73746.721014981
"ITG",49961139734.745,49961.139734745
"ITH",62227078668.6604,62227.0786686604
"ITI",58220755051.4962,58220.7550514962
"LI0",160106570.525093,160.106570525093
"NO0",398026940289.799,398026.940289799
"CZ05",12392903594.6341,12392.9035946341
